Respondent_ID,Date,Age_Group,Gender,Region,Product,Rating,Recommend,Feedback
44,2024-02-13,36-50,Male,North,Product A,4,Yes,Good
45,2024-02-14,18-25,Female,South,Product C,4,Yes,Good
46,2024-02-15,26-35,Female,East,Product B,3,No,Average
47,2024-02-16,18-25,Female,South,Product A,4,Yes,Good
48,2024-02-17,26-35,Male,South,Product B,4,Yes,Good
49,2024-02-18,26-35,Male,North,Product B,5,Yes,Excellent
50,2024-02-19,18-25,Male,West,Product A,4,Yes,Good
51,2024-02-20,36-50,Female,West,Product B,5,Yes,Excellent
52,2024-02-21,26-35,Male,North,Product B,4,Yes,Good
53,2024-02-22,36-50,Female,West,Product A,4,Yes,Good
54,2024-02-23,36-50,Female,South,Product C,4,Yes,Good
55,2024-02-24,26-35,Male,East,Product C,3,No,Average
56,2024-02-25,36-50,Male,North,Product B,3,No,Average
57,2024-02-26,18-25,Female,East,Product B,3,No,Average
58,2024-02-27,18-25,Male,West,Product B,4,Yes,Good
59,2024-02-28,18-25,Female,East,Product B,5,Yes,Excellent
60,2024-02-29,18-25,Male,West,Product B,4,Yes,Good
61,2024-03-01,18-25,Male,West,Product A,4,Yes,Good
62,2024-03-02,18-25,Female,South,Product B,3,No,Average
63,2024-03-03,36-50,Male,West,Product C,3,No,Average
64,2024-03-04,18-25,Female,South,Product B,4,Yes,Good
65,2024-03-05,18-25,Male,South,Product A,4,Yes,Good
66,2024-03-06,26-35,Female,South,Product C,3,No,Average
67,2024-03-07,18-25,Female,North,Product A,4,Yes,Good
68,2024-03-08,36-50,Male,North,Product A,5,Yes,Excellent
69,2024-03-09,18-25,Female,West,Product A,5,Yes,Excellent
70,2024-03-10,36-50,Male,South,Product A,5,Yes,Excellent
71,2024-03-11,26-35,Male,North,Product C,2,No,Poor
72,2024-03-12,18-25,Male,South,Product B,4,Yes,Good
73,2024-03-13,18-25,Female,East,Product A,4,Yes,Good
74,2024-03-14,36-50,Female,East,Product C,2,No,Poor
75,2024-03-15,26-35,Male,East,Product C,3,No,Average
76,2024-03-16,26-35,Male,West,Product C,3,No,Average
77,2024-03-17,26-35,Female,South,Product A,5,Yes,Excellent
78,2024-03-18,18-25,Male,East,Product B,3,No,Average
79,2024-03-19,18-25,Male,North,Product C,2,No,Poor
80,2024-03-20,18-25,Female,East,Product C,4,Yes,Good
81,2024-03-21,36-50,Male,East,Product A,4,Yes,Good
82,2024-03-22,26-35,Female,East,Product A,5,Yes,Excellent
83,2024-03-23,18-25,Male,West,Product B,5,Yes,Excellent
84,2024-03-24,18-25,Female,North,Product C,4,Yes,Good
85,2024-03-25,18-25,Male,South,Product B,5,Yes,Excellent
86,2024-03-26,18-25,Male,North,Product B,4,Yes,Good
87,2024-03-27,26-35,Female,South,Product A,5,Yes,Excellent
88,2024-03-28,26-35,Male,West,Product B,3,No,Average
89,2024-03-29,36-50,Female,West,Product C,4,Yes,Good
90,2024-03-30,18-25,Male,West,Product A,5,Yes,Excellent
91,2024-03-31,18-25,Female,West,Product C,3,No,Average
92,2024-04-01,26-35,Female,South,Product C,3,No,Average
93,2024-04-02,26-35,Female,East,Product A,5,Yes,Excellent
94,2024-04-03,26-35,Female,South,Product B,4,Yes,Good
95,2024-04-04,26-35,Male,North,Product A,5,Yes,Excellent
96,2024-04-05,18-25,Male,West,Product C,4,Yes,Good
97,2024-04-06,26-35,Female,West,Product B,5,Yes,Excellent
98,2024-04-07,18-25,Female,North,Product B,5,Yes,Excellent
99,2024-04-08,18-25,Female,South,Product C,4,Yes,Good
100,2024-04-09,18-25,Male,East,Product A,4,Yes,Good
101,2024-04-10,18-25,Male,East,Product C,4,Yes,Good
102,2024-04-11,26-35,Male,North,Product B,4,Yes,Good
103,2024-04-12,18-25,Male,East,Product A,5,Yes,Excellent
104,2024-04-13,26-35,Female,South,Product B,5,Yes,Excellent
105,2024-04-14,36-50,Female,South,Product C,2,No,Poor
106,2024-04-15,18-25,Female,North,Product A,5,Yes,Excellent
107,2024-04-16,18-25,Male,South,Product C,4,Yes,Good
108,2024-04-17,26-35,Male,West,Product C,4,Yes,Good
109,2024-04-18,18-25,Male,North,Product A,4,Yes,Good
110,2024-04-19,18-25,Female,South,Product C,3,No,Average
111,2024-04-20,18-25,Female,North,Product A,5,Yes,Excellent
112,2024-04-21,18-25,Male,East,Product A,4,Yes,Good
113,2024-04-22,36-50,Female,South,Product A,5,Yes,Excellent
114,2024-04-23,36-50,Male,West,Product C,3,No,Average
115,2024-04-24,26-35,Male,South,Product B,5,Yes,Excellent
116,2024-04-25,36-50,Female,North,Product A,5,Yes,Excellent
117,2024-04-26,36-50,Male,North,Product B,5,Yes,Excellent
118,2024-04-27,18-25,Female,South,Product B,5,Yes,Excellent
119,2024-04-28,36-50,Male,West,Product A,5,Yes,Excellent
120,2024-04-29,26-35,Female,West,Product C,2,No,Poor
121,2024-04-30,36-50,Female,West,Product C,2,No,Poor
122,2024-05-01,36-50,Female,North,Product B,4,Yes,Good
123,2024-05-02,18-25,Male,South,Product C,2,No,Poor
124,2024-05-03,18-25,Male,East,Product B,5,Yes,Excellent
125,2024-05-04,18-25,Female,North,Product C,4,Yes,Good
126,2024-05-05,18-25,Female,West,Product B,4,Yes,Good
127,2024-05-06,36-50,Male,South,Product B,3,No,Average
128,2024-05-07,36-50,Male,West,Product A,5,Yes,Excellent
129,2024-05-08,18-25,Male,East,Product C,2,No,Poor
130,2024-05-09,26-35,Female,West,Product B,5,Yes,Excellent
131,2024-05-10,18-25,Male,West,Product A,5,Yes,Excellent
132,2024-05-11,18-25,Male,East,Product A,4,Yes,Good
133,2024-05-12,18-25,Female,South,Product B,4,Yes,Good
134,2024-05-13,18-25,Male,North,Product B,3,No,Average
135,2024-05-14,36-50,Male,South,Product B,5,Yes,Excellent
136,2024-05-15,18-25,Male,East,Product C,4,Yes,Good
137,2024-05-16,26-35,Female,West,Product A,5,Yes,Excellent
138,2024-05-17,26-35,Female,South,Product B,5,Yes,Excellent
139,2024-05-18,18-25,Female,North,Product A,5,Yes,Excellent
140,2024-05-19,36-50,Female,East,Product C,2,No,Poor
141,2024-05-20,36-50,Female,South,Product C,4,Yes,Good
142,2024-05-21,18-25,Female,North,Product B,4,Yes,Good
143,2024-05-22,18-25,Female,East,Product B,4,Yes,Good
144,2024-05-23,18-25,Male,North,Product A,5,Yes,Excellent
145,2024-05-24,18-25,Male,East,Product B,3,No,Average
146,2024-05-25,18-25,Female,West,Product C,2,No,Poor
147,2024-05-26,26-35,Male,South,Product B,3,No,Average
148,2024-05-27,26-35,Male,North,Product A,4,Yes,Good
149,2024-05-28,18-25,Female,East,Product B,3,No,Average
150,2024-05-29,18-25,Male,North,Product C,4,Yes,Good
151,2024-05-30,36-50,Male,North,Product A,4,Yes,Good
152,2024-05-31,18-25,Male,South,Product A,4,Yes,Good
153,2024-06-01,18-25,Male,West,Product B,5,Yes,Excellent
154,2024-06-02,18-25,Male,North,Product C,2,No,Poor
155,2024-06-03,36-50,Female,East,Product A,5,Yes,Excellent
156,2024-06-04,18-25,Female,East,Product A,5,Yes,Excellent
157,2024-06-05,26-35,Female,West,Product A,4,Yes,Good
158,2024-06-06,26-35,Male,East,Product A,4,Yes,Good
159,2024-06-07,18-25,Female,West,Product B,4,Yes,Good
160,2024-06-08,26-35,Male,East,Product B,4,Yes,Good
161,2024-06-09,18-25,Male,South,Product B,4,Yes,Good
162,2024-06-10,26-35,Male,North,Product B,4,Yes,Good
163,2024-06-11,26-35,Male,South,Product A,4,Yes,Good
164,2024-06-12,26-35,Female,North,Product C,3,No,Average
165,2024-06-13,18-25,Female,North,Product B,4,Yes,Good
166,2024-06-14,36-50,Male,North,Product C,4,Yes,Good
167,2024-06-15,18-25,Female,South,Product B,4,Yes,Good
168,2024-06-16,18-25,Male,North,Product A,5,Yes,Excellent
169,2024-06-17,18-25,Female,South,Product B,5,Yes,Excellent
170,2024-06-18,26-35,Female,West,Product A,5,Yes,Excellent
171,2024-06-19,26-35,Male,East,Product B,5,Yes,Excellent
172,2024-06-20,18-25,Female,East,Product A,4,Yes,Good
173,2024-06-21,26-35,Male,North,Product A,4,Yes,Good
174,2024-06-22,18-25,Female,South,Product C,2,No,Poor
175,2024-06-23,26-35,Male,East,Product A,5,Yes,Excellent
176,2024-06-24,18-25,Male,South,Product C,4,Yes,Good
177,2024-06-25,26-35,Female,South,Product A,4,Yes,Good
178,2024-06-26,18-25,Female,North,Product B,3,No,Average
179,2024-06-27,36-50,Male,East,Product B,5,Yes,Excellent
180,2024-06-28,18-25,Female,North,Product B,3,No,Average
181,2024-06-29,18-25,Female,North,Product A,4,Yes,Good
182,2024-06-30,18-25,Male,East,Product A,5,Yes,Excellent
183,2024-07-01,36-50,Male,East,Product A,4,Yes,Good
184,2024-07-02,36-50,Female,West,Product A,5,Yes,Excellent
185,2024-07-03,18-25,Male,West,Product B,3,No,Average
186,2024-07-04,26-35,Male,South,Product C,4,Yes,Good
187,2024-07-05,36-50,Male,East,Product C,2,No,Poor
188,2024-07-06,26-35,Female,West,Product C,2,No,Poor
189,2024-07-07,26-35,Female,South,Product C,3,No,Average
190,2024-07-08,18-25,Male,South,Product B,4,Yes,Good
191,2024-07-09,18-25,Female,South,Product A,5,Yes,Excellent
192,2024-07-10,36-50,Male,West,Product C,2,No,Poor
193,2024-07-11,36-50,Female,East,Product B,5,Yes,Excellent
194,2024-07-12,26-35,Male,North,Product B,3,No,Average
195,2024-07-13,18-25,Male,South,Product A,4,Yes,Good
196,2024-07-14,18-25,Female,West,Product B,5,Yes,Excellent
197,2024-07-15,26-35,Male,West,Product B,5,Yes,Excellent
198,2024-07-16,36-50,Female,North,Product C,4,Yes,Good
199,2024-07-17,36-50,Female,North,Product B,5,Yes,Excellent
200,2024-07-18,26-35,Male,West,Product A,4,Yes,Good
201,2024-07-19,26-35,Male,East,Product C,2,No,Poor
202,2024-07-20,18-25,Female,North,Product A,5,Yes,Excellent
203,2024-07-21,18-25,Male,West,Product B,3,No,Average
204,2024-07-22,36-50,Male,North,Product A,4,Yes,Good
205,2024-07-23,26-35,Male,East,Product B,4,Yes,Good
206,2024-07-24,18-25,Male,South,Product C,4,Yes,Good
207,2024-07-25,18-25,Male,North,Product A,4,Yes,Good
208,2024-07-26,26-35,Female,East,Product C,3,No,Average
209,2024-07-27,18-25,Female,West,Product A,4,Yes,Good
210,2024-07-28,18-25,Male,North,Product C,3,No,Average
211,2024-07-29,26-35,Male,North,Product C,3,No,Average
212,2024-07-30,26-35,Male,West,Product C,2,No,Poor
213,2024-07-31,26-35,Female,South,Product A,4,Yes,Good
214,2024-08-01,18-25,Male,West,Product C,3,No,Average
215,2024-08-02,26-35,Female,North,Product B,4,Yes,Good
216,2024-08-03,18-25,Female,West,Product A,5,Yes,Excellent
217,2024-08-04,18-25,Female,East,Product C,4,Yes,Good
218,2024-08-05,26-35,Male,West,Product A,5,Yes,Excellent
219,2024-08-06,26-35,Female,North,Product C,3,No,Average
220,2024-08-07,36-50,Male,West,Product A,5,Yes,Excellent
221,2024-08-08,26-35,Female,South,Product B,5,Yes,Excellent
222,2024-08-09,26-35,Male,West,Product B,5,Yes,Excellent
223,2024-08-10,18-25,Female,South,Product A,5,Yes,Excellent
224,2024-08-11,18-25,Male,East,Product A,4,Yes,Good
225,2024-08-12,18-25,Female,South,Product A,4,Yes,Good
226,2024-08-13,18-25,Male,West,Product B,3,No,Average
227,2024-08-14,36-50,Male,North,Product A,5,Yes,Excellent
228,2024-08-15,18-25,Male,South,Product B,4,Yes,Good
229,2024-08-16,36-50,Male,East,Product A,4,Yes,Good
230,2024-08-17,26-35,Female,South,Product A,5,Yes,Excellent
231,2024-08-18,26-35,Female,South,Product B,4,Yes,Good
232,2024-08-19,26-35,Male,South,Product A,4,Yes,Good
233,2024-08-20,26-35,Female,East,Product C,4,Yes,Good
234,2024-08-21,18-25,Male,West,Product C,4,Yes,Good
235,2024-08-22,18-25,Male,South,Product B,4,Yes,Good
236,2024-08-23,26-35,Female,South,Product B,5,Yes,Excellent
237,2024-08-24,18-25,Male,North,Product C,3,No,Average
238,2024-08-25,18-25,Male,East,Product A,5,Yes,Excellent
239,2024-08-26,26-35,Female,South,Product A,4,Yes,Good
240,2024-08-27,18-25,Male,East,Product A,4,Yes,Good
241,2024-08-28,36-50,Male,South,Product C,2,No,Poor
242,2024-08-29,36-50,Male,West,Product A,5,Yes,Excellent
243,2024-08-30,36-50,Male,West,Product B,5,Yes,Excellent
244,2024-08-31,18-25,Female,South,Product C,2,No,Poor
245,2024-09-01,18-25,Female,West,Product C,4,Yes,Good
246,2024-09-02,36-50,Female,South,Product B,3,No,Average
247,2024-09-03,18-25,Male,West,Product A,5,Yes,Excellent
248,2024-09-04,36-50,Male,North,Product C,2,No,Poor
249,2024-09-05,36-50,Female,North,Product B,4,Yes,Good
250,2024-09-06,36-50,Male,North,Product A,4,Yes,Good
251,2024-09-07,18-25,Male,East,Product A,4,Yes,Good
252,2024-09-08,18-25,Male,East,Product C,3,No,Average
253,2024-09-09,36-50,Male,North,Product B,5,Yes,Excellent
254,2024-09-10,18-25,Female,East,Product C,2,No,Poor
255,2024-09-11,18-25,Female,West,Product C,3,No,Average
256,2024-09-12,26-35,Female,South,Product B,3,No,Average
257,2024-09-13,36-50,Male,South,Product B,4,Yes,Good
258,2024-09-14,26-35,Female,South,Product B,5,Yes,Excellent
259,2024-09-15,26-35,Female,North,Product A,4,Yes,Good
260,2024-09-16,18-25,Male,East,Product B,4,Yes,Good
261,2024-09-17,26-35,Male,West,Product C,3,No,Average
262,2024-09-18,36-50,Female,West,Product B,4,Yes,Good
263,2024-09-19,18-25,Female,North,Product C,4,Yes,Good
264,2024-09-20,26-35,Female,West,Product B,3,No,Average
265,2024-09-21,36-50,Female,West,Product B,5,Yes,Excellent
266,2024-09-22,26-35,Male,West,Product B,4,Yes,Good
267,2024-09-23,26-35,Female,West,Product B,4,Yes,Good
268,2024-09-24,26-35,Female,East,Product B,5,Yes,Excellent
269,2024-09-25,18-25,Male,West,Product A,5,Yes,Excellent
270,2024-09-26,18-25,Female,South,Product B,5,Yes,Excellent
271,2024-09-27,36-50,Male,North,Product A,5,Yes,Excellent
272,2024-09-28,36-50,Male,East,Product A,4,Yes,Good
273,2024-09-29,36-50,Male,West,Product B,3,No,Average
274,2024-09-30,36-50,Female,East,Product B,4,Yes,Good
275,2024-10-01,26-35,Female,West,Product C,4,Yes,Good
276,2024-10-02,26-35,Male,South,Product B,3,No,Average
277,2024-10-03,26-35,Female,North,Product B,5,Yes,Excellent
278,2024-10-04,26-35,Female,West,Product B,4,Yes,Good
279,2024-10-05,26-35,Male,West,Product B,5,Yes,Excellent
280,2024-10-06,26-35,Male,West,Product A,4,Yes,Good
281,2024-10-07,36-50,Female,West,Product A,4,Yes,Good
282,2024-10-08,18-25,Male,North,Product A,4,Yes,Good
283,2024-10-09,18-25,Female,North,Product B,4,Yes,Good
284,2024-10-10,18-25,Female,South,Product A,5,Yes,Excellent
285,2024-10-11,26-35,Female,North,Product A,5,Yes,Excellent
286,2024-10-12,18-25,Female,West,Product A,4,Yes,Good
287,2024-10-13,18-25,Male,South,Product C,2,No,Poor
288,2024-10-14,26-35,Male,South,Product A,5,Yes,Excellent
289,2024-10-15,18-25,Male,South,Product B,4,Yes,Good
290,2024-10-16,26-35,Male,West,Product A,4,Yes,Good
291,2024-10-17,18-25,Female,East,Product B,3,No,Average
292,2024-10-18,18-25,Female,West,Product A,4,Yes,Good
293,2024-10-19,36-50,Male,North,Product A,4,Yes,Good
294,2024-10-20,18-25,Female,North,Product B,4,Yes,Good
295,2024-10-21,18-25,Female,West,Product A,5,Yes,Excellent
296,2024-10-22,26-35,Female,West,Product A,4,Yes,Good
297,2024-10-23,26-35,Male,South,Product A,5,Yes,Excellent
298,2024-10-24,18-25,Male,West,Product A,4,Yes,Good
299,2024-10-25,26-35,Male,South,Product A,4,Yes,Good
300,2024-10-26,18-25,Female,North,Product A,4,Yes,Good
301,2024-10-27,18-25,Male,South,Product C,4,Yes,Good
302,2024-10-28,26-35,Male,West,Product B,5,Yes,Excellent
303,2024-10-29,26-35,Male,North,Product B,5,Yes,Excellent
304,2024-10-30,26-35,Male,East,Product A,5,Yes,Excellent
305,2024-10-31,26-35,Male,South,Product C,2,No,Poor
306,2024-11-01,36-50,Male,North,Product A,4,Yes,Good
307,2024-11-02,26-35,Female,South,Product A,5,Yes,Excellent
308,2024-11-03,18-25,Female,North,Product B,5,Yes,Excellent
309,2024-11-04,26-35,Male,North,Product A,5,Yes,Excellent
310,2024-11-05,18-25,Male,South,Product A,5,Yes,Excellent
311,2024-11-06,18-25,Female,East,Product B,5,Yes,Excellent
312,2024-11-07,18-25,Female,North,Product C,2,No,Poor
313,2024-11-08,18-25,Male,North,Product B,3,No,Average
314,2024-11-09,36-50,Male,North,Product B,3,No,Average
315,2024-11-10,36-50,Male,East,Product C,4,Yes,Good
316,2024-11-11,26-35,Male,East,Product A,5,Yes,Excellent
317,2024-11-12,18-25,Female,West,Product A,5,Yes,Excellent
318,2024-11-13,18-25,Male,South,Product A,5,Yes,Excellent
319,2024-11-14,18-25,Male,East,Product B,3,No,Average
320,2024-11-15,18-25,Male,South,Product B,3,No,Average
321,2024-11-16,26-35,Male,West,Product C,4,Yes,Good
322,2024-11-17,26-35,Female,South,Product B,4,Yes,Good
323,2024-11-18,26-35,Female,East,Product B,5,Yes,Excellent
324,2024-11-19,18-25,Female,South,Product A,5,Yes,Excellent
325,2024-11-20,36-50,Male,East,Product C,2,No,Poor
326,2024-11-21,26-35,Male,South,Product C,3,No,Average
327,2024-11-22,26-35,Female,East,Product C,3,No,Average
328,2024-11-23,26-35,Male,East,Product A,4,Yes,Good
329,2024-11-24,18-25,Male,South,Product B,4,Yes,Good
330,2024-11-25,18-25,Female,West,Product A,5,Yes,Excellent
331,2024-11-26,18-25,Female,North,Product A,4,Yes,Good
332,2024-11-27,26-35,Female,West,Product A,5,Yes,Excellent
333,2024-11-28,18-25,Female,South,Product B,3,No,Average
334,2024-11-29,18-25,Male,West,Product B,3,No,Average
335,2024-11-30,18-25,Male,East,Product A,4,Yes,Good
336,2024-12-01,18-25,Female,North,Product A,4,Yes,Good
337,2024-12-02,36-50,Male,South,Product B,3,No,Average
338,2024-12-03,26-35,Female,South,Product A,5,Yes,Excellent
339,2024-12-04,18-25,Female,South,Product A,4,Yes,Good
340,2024-12-05,18-25,Male,North,Product B,3,No,Average
341,2024-12-06,18-25,Female,East,Product C,4,Yes,Good
342,2024-12-07,18-25,Male,South,Product A,4,Yes,Good
343,2024-12-08,18-25,Male,West,Product A,5,Yes,Excellent
344,2024-12-09,18-25,Male,South,Product A,4,Yes,Good
345,2024-12-10,18-25,Male,South,Product C,3,No,Average
346,2024-12-11,26-35,Female,South,Product B,3,No,Average
347,2024-12-12,26-35,Male,South,Product B,4,Yes,Good
348,2024-12-13,18-25,Female,East,Product A,4,Yes,Good
349,2024-12-14,18-25,Female,West,Product B,3,No,Average
350,2024-12-15,26-35,Female,East,Product A,5,Yes,Excellent
351,2024-12-16,26-35,Female,West,Product B,5,Yes,Excellent
352,2024-12-17,36-50,Male,South,Product C,4,Yes,Good
353,2024-12-18,26-35,Male,North,Product B,4,Yes,Good
354,2024-12-19,18-25,Female,East,Product C,2,No,Poor
355,2024-12-20,18-25,Female,North,Product B,5,Yes,Excellent
356,2024-12-21,26-35,Male,East,Product A,5,Yes,Excellent
357,2024-12-22,18-25,Female,South,Product C,2,No,Poor
358,2024-12-23,26-35,Male,East,Product A,4,Yes,Good
359,2024-12-24,36-50,Female,South,Product B,5,Yes,Excellent
360,2024-12-25,26-35,Male,East,Product A,4,Yes,Good
361,2024-12-26,18-25,Female,South,Product A,4,Yes,Good
362,2024-12-27,26-35,Female,South,Product B,3,No,Average
363,2024-12-28,18-25,Male,West,Product A,5,Yes,Excellent
364,2024-12-29,26-35,Female,South,Product B,4,Yes,Good
365,2024-12-30,36-50,Female,West,Product B,5,Yes,Excellent
366,2024-12-31,18-25,Male,South,Product A,5,Yes,Excellent
367,2025-01-01,36-50,Female,North,Product A,4,Yes,Good
368,2025-01-02,36-50,Male,South,Product B,3,No,Average
369,2025-01-03,18-25,Male,North,Product A,4,Yes,Good
370,2025-01-04,18-25,Female,North,Product B,5,Yes,Excellent
371,2025-01-05,18-25,Female,South,Product B,3,No,Average
372,2025-01-06,18-25,Female,North,Product C,3,No,Average
373,2025-01-07,18-25,Female,West,Product B,3,No,Average
374,2025-01-08,26-35,Female,East,Product B,4,Yes,Good
375,2025-01-09,18-25,Female,South,Product B,4,Yes,Good
376,2025-01-10,18-25,Female,North,Product A,5,Yes,Excellent
377,2025-01-11,36-50,Male,South,Product A,5,Yes,Excellent
378,2025-01-12,18-25,Female,West,Product C,3,No,Average
379,2025-01-13,36-50,Male,South,Product B,3,No,Average
380,2025-01-14,18-25,Female,South,Product C,3,No,Average
381,2025-01-15,18-25,Female,North,Product C,2,No,Poor
382,2025-01-16,26-35,Male,West,Product C,3,No,Average
383,2025-01-17,26-35,Female,East,Product C,4,Yes,Good
384,2025-01-18,36-50,Female,East,Product B,4,Yes,Good
385,2025-01-19,26-35,Male,North,Product A,4,Yes,Good
386,2025-01-20,36-50,Female,South,Product B,4,Yes,Good
387,2025-01-21,18-25,Female,North,Product A,5,Yes,Excellent
388,2025-01-22,18-25,Female,North,Product B,4,Yes,Good
389,2025-01-23,26-35,Male,North,Product B,5,Yes,Excellent
390,2025-01-24,36-50,Female,South,Product B,5,Yes,Excellent
391,2025-01-25,36-50,Female,West,Product A,5,Yes,Excellent
392,2025-01-26,18-25,Female,North,Product A,5,Yes,Excellent
393,2025-01-27,18-25,Female,South,Product B,3,No,Average
394,2025-01-28,26-35,Male,West,Product A,5,Yes,Excellent
395,2025-01-29,18-25,Male,North,Product C,4,Yes,Good
396,2025-01-30,36-50,Female,East,Product A,5,Yes,Excellent
397,2025-01-31,36-50,Female,West,Product A,4,Yes,Good
398,2025-02-01,18-25,Male,North,Product A,4,Yes,Good
399,2025-02-02,26-35,Male,West,Product B,5,Yes,Excellent
400,2025-02-03,26-35,Female,West,Product B,4,Yes,Good
401,2025-02-04,18-25,Male,West,Product A,4,Yes,Good
402,2025-02-05,36-50,Female,West,Product A,4,Yes,Good
403,2025-02-06,26-35,Male,West,Product B,4,Yes,Good
404,2025-02-07,36-50,Male,West,Product A,4,Yes,Good
405,2025-02-08,18-25,Male,North,Product B,4,Yes,Good
406,2025-02-09,36-50,Male,East,Product B,5,Yes,Excellent
407,2025-02-10,18-25,Female,South,Product A,4,Yes,Good
408,2025-02-11,18-25,Male,West,Product A,4,Yes,Good
409,2025-02-12,36-50,Male,South,Product C,4,Yes,Good
410,2025-02-13,18-25,Female,North,Product B,3,No,Average
411,2025-02-14,18-25,Male,West,Product B,4,Yes,Good
412,2025-02-15,36-50,Male,East,Product A,4,Yes,Good
413,2025-02-16,36-50,Female,South,Product B,5,Yes,Excellent
414,2025-02-17,26-35,Male,West,Product A,4,Yes,Good
415,2025-02-18,26-35,Female,North,Product B,4,Yes,Good
416,2025-02-19,18-25,Female,East,Product C,4,Yes,Good
417,2025-02-20,18-25,Female,South,Product A,5,Yes,Excellent
418,2025-02-21,18-25,Female,South,Product A,4,Yes,Good
419,2025-02-22,26-35,Male,West,Product A,4,Yes,Good
420,2025-02-23,26-35,Female,East,Product A,5,Yes,Excellent
421,2025-02-24,26-35,Male,East,Product A,5,Yes,Excellent
422,2025-02-25,26-35,Male,East,Product A,4,Yes,Good
423,2025-02-26,18-25,Male,East,Product C,2,No,Poor
424,2025-02-27,18-25,Male,North,Product B,4,Yes,Good
425,2025-02-28,18-25,Male,East,Product A,4,Yes,Good
426,2025-03-01,26-35,Male,South,Product C,3,No,Average
427,2025-03-02,18-25,Male,South,Product A,4,Yes,Good
428,2025-03-03,36-50,Male,North,Product C,4,Yes,Good
429,2025-03-04,18-25,Male,South,Product A,4,Yes,Good
430,2025-03-05,18-25,Male,South,Product C,2,No,Poor
431,2025-03-06,18-25,Female,East,Product B,3,No,Average
432,2025-03-07,26-35,Female,South,Product C,2,No,Poor
433,2025-03-08,26-35,Female,North,Product C,2,No,Poor
434,2025-03-09,18-25,Male,East,Product A,4,Yes,Good
435,2025-03-10,18-25,Female,West,Product C,3,No,Average
436,2025-03-11,26-35,Female,East,Product A,4,Yes,Good
437,2025-03-12,18-25,Female,North,Product A,4,Yes,Good
438,2025-03-13,36-50,Male,East,Product A,4,Yes,Good
439,2025-03-14,26-35,Male,East,Product B,3,No,Average
440,2025-03-15,18-25,Male,North,Product A,5,Yes,Excellent
441,2025-03-16,18-25,Male,East,Product B,3,No,Average
442,2025-03-17,36-50,Female,North,Product B,5,Yes,Excellent
443,2025-03-18,18-25,Female,North,Product C,4,Yes,Good
444,2025-03-19,18-25,Female,West,Product C,3,No,Average
445,2025-03-20,36-50,Female,South,Product B,3,No,Average
446,2025-03-21,36-50,Male,South,Product A,4,Yes,Good
